,S&P 500,Nasdaq 100,US Small Caps,Euro Stoxx 50,UK FTSE,MSCI EM,Japan,US IG,US HY,EU IG,EU HY,EM Bond,Gold,Commodity
ETF 34,0.04713485369204536,0.08011106545182793,0.07458755951766911,0.03214682773790957,-0.014712341879418058,0.03407527909250289,0.010391720765084681,0.7151067643181762,0.23135192799027185,0.4230603103688264,0.1268658304765193,0.34580464968602037,0.396339207050507,0.17216688343058342
ETF 35,0.42450515668346805,0.3183721019073481,0.4153008212294466,0.5275665358007737,0.5031297509129372,0.5884750466361658,0.43284988538823704,0.3876903556431561,0.7308210876404201,0.5213376894649839,0.9999999999607346,0.696814309101659,0.10030511088161502,0.26003351061762914
ETF 36,0.4050166057989309,0.3333323330978581,0.4151869664103344,0.5332843081186553,0.482606197929945,0.6167679746368694,0.2506924022848148,0.3950733858872811,0.639658446981466,0.3560484671391357,0.5516018425142521,0.7425141641649933,0.2886133519276978,0.3060513280235456
ETF 37,0.7752483372737472,0.6312628585250495,0.7732279322147463,0.79197000104298,0.759570139933453,0.6112735517280276,0.5129193479867878,0.24069332394745677,0.6908410763461259,0.22843323570130922,0.5940579592263606,0.5593622558882918,0.14110838365289585,0.3863485337493119
ETF 38,0.8742706775798258,0.7352033630714101,0.7496692341730723,0.634391549461401,0.6136989501388985,0.4493086853851376,0.31584371536681854,0.3162563537889086,0.6702288293599938,0.28477312773835967,0.5089175156674408,0.5441882554668255,0.2397922599730906,0.2970415681563243
ETF 39,0.08394816643597094,0.10759866748020269,0.08572437846865354,0.03434372172000713,-0.0407871162317117,8.485411773252247e-05,-0.040369955609616745,0.5403175456933752,0.2659175872311382,0.8259904535696966,0.1832455949213105,0.36767019570022863,0.26317498704599024,-0.00453279995424496
ETF 40,0.9440188115882647,0.8899851208344958,0.8526798203158609,0.7353851624396625,0.6426744131900609,0.5310723356440605,0.3326121019552109,0.30420576319708725,0.7137790866669054,0.25559254883705096,0.5045199576906848,0.5511031182070181,0.1575463980529402,0.3177401465525466
ETF 41,0.6155493977619757,0.5247488851711923,0.5856462754516234,0.9561357117286468,0.8509596147230032,0.5350188119948884,0.3338800488081023,0.2386127523361417,0.6232307211350481,0.23797199096720842,0.5362797862824118,0.5384866101297934,0.06529065378272134,0.2640177823628963
ETF 42,0.4248324097191859,0.36525060326961223,0.4247509802007487,0.5498745261078624,0.5329407374211915,0.9535489655217871,0.4712048867549952,0.21940298562967797,0.5749129564577441,0.2452224116842027,0.6142451114597959,0.5902750358417382,0.1237724827530058,0.29555478752858194
ETF 43,0.2064004820126062,0.18402543521279202,0.21875367525995268,0.19557092250741367,0.13503029842919662,0.22554801307254171,0.13614139575242798,0.5628726073011836,0.5029897494435543,0.9642506806517173,0.5216618133525293,0.5506977686064874,0.21227877876947762,0.0827235141083274
ETF 44,0.1552993751453169,0.12641216240533198,0.15579403871020553,0.23071422432298397,0.22089069970853678,0.45138237407532156,0.8278749868607576,0.2668212275298481,0.31190949778777255,0.2821320917331684,0.38806271159936867,0.3527723041588225,0.20662773958115618,0.17657530530923585
ETF 45,-0.10214392649831976,-0.036595367222857375,-0.07714499240976119,-0.14101388774715476,-0.19781049924249985,-0.1010931009218689,-0.06661649608528082,0.80195182868468,0.14439328234366905,0.5116481691556203,-0.013418923571921338,0.30483356793149863,0.3255510458917942,-0.060670398077239424
ETF 46,0.15198428977232425,0.11618388675751748,0.15236069344103534,0.18143109734544885,0.16217349686078056,0.20348321532218364,0.12926733529472473,0.2936941014516941,0.3513594310927658,0.48878082968021275,0.4734398053891067,0.3420943564764408,0.1033375183424406,0.1016317008178529
ETF 47,0.6052027453907984,0.5019951631310813,0.5986203987726451,0.973661205251646,0.8279851311217463,0.5230388146410779,0.32729311571206743,0.19914467389354742,0.5942919714809541,0.1856064424505493,0.5257522759854505,0.5145491085622146,0.04947950683095915,0.25960271651794103
ETF 48,0.1987042861357294,0.13749352382468036,0.18027340682674853,0.16656867141994236,0.21148932847473323,0.21162980315732066,0.15178482759517548,0.2505362760985862,0.4078959876683245,0.23165545979903712,0.5062747289197557,0.299314747918656,0.010411807019579283,0.0906630033558565
ETF 49,0.9181862840349333,0.7683599272156962,0.9048400000391855,0.6457140600019481,0.617119095164441,0.43676059524149047,0.23024861123349458,0.16693996843555772,0.6319869351507652,0.17305655118947663,0.45381153054636614,0.43332264235668483,0.06246392211190659,0.3370750848924921
ETF 50,0.9422853157925408,0.8681603145564886,0.858329689343922,0.7487453093257498,0.66642935091491,0.5407332971794131,0.339049070266493,0.30276801041242235,0.7223993013764556,0.2588181826699909,0.5207498424930773,0.5627182687039626,0.1604936443651997,0.3252862757167094
ETF 51,0.6280083406604507,0.5121613052246721,0.6141357769191929,0.9701276487863641,0.9067229588337545,0.5662663337030591,0.34865976169308704,0.2000577174263999,0.6311763422139395,0.20186514985093088,0.5535968397335114,0.5388359748846377,0.051897351798277674,0.3165426920419011
ETF 52,0.9506699970729542,0.8006380614620338,0.927500651322683,0.654581788765112,0.6192940213467143,0.4374173687152163,0.23631665026701568,0.21162639089084254,0.6646010834660692,0.20161656969904904,0.4702821723769849,0.46776497641486836,0.08245644326960387,0.32605489862510323
ETF 53,0.9357066370162666,0.977381811881701,0.7642696373313965,0.5345838598297337,0.43687502220606483,0.38183620905726745,0.1743262459614631,0.19514683738044075,0.5543515315459824,0.16310177185715086,0.3279766086487191,0.38050331291554057,0.07619886050644493,0.23076839054618842
ETF 54,0.6157474072880066,0.5298585140622449,0.584063450285914,0.951696002060309,0.8445027407757885,0.5372202238873931,0.33394729903058784,0.24464864803850414,0.6231452785347144,0.24227773610728395,0.5351043407147468,0.5414292976958592,0.07019461636906477,0.26270079564685467
ETF 55,0.5945072088702739,0.4878191838122599,0.5877194207332627,0.9233458393587934,0.8426207210435698,0.5927392954978837,0.3452989228840374,0.2712527322558064,0.6660611865791514,0.2186097233235131,0.5621612753936278,0.6012003460130189,0.16923950633549079,0.3410248425950207
ETF 56,0.8053793683439903,0.6256643524259435,0.7753880194925573,0.8085640608508963,0.803358295541965,0.6629907018857564,0.43522382406440185,0.242587684505627,0.7229531485844498,0.23370072991044244,0.6258866865391609,0.6029975900928071,0.15016258007324257,0.41605095727169766
ETF 57,0.18799759945321445,0.17540505445131363,0.19787794981107334,0.17442624196379578,0.10646979812492803,0.20120639613645747,0.12469507428797834,0.6023584864396072,0.4817436690527654,0.9845055847842885,0.4958578994096373,0.554681880998571,0.23714034934542821,0.06957849458889764
