,mu_ann,vol_ann,sharpe_ann_rf0
Unnamed: 60,0.1211673535801749,0.18805284278541878,0.6443260935886791
Unnamed: 61,0.008640924420987956,0.05537062669429969,0.1560561065832676
Unnamed: 62,0.16989113568630124,0.20753627886826695,0.81860933718552
Unnamed: 63,0.1269441305998228,0.15997480611533565,0.7935257662278458
Unnamed: 64,-0.0024320211841779315,0.00018671257061068347,-13.02548176710055
Unnamed: 65,0.006088753125584121,0.010484087458949723,0.5807613823734814
Unnamed: 66,0.14647094682879463,0.19757517333897023,0.741342873972842
Unnamed: 67,0.1748716367688257,0.20586808442223412,0.849435390918415
Unnamed: 68,0.11853033615342826,0.16040702772068652,0.738934807518675
Unnamed: 69,0.1640459737986601,0.21579986641971804,0.7601764381058528
Unnamed: 70,-0.011141383838939086,0.05978826838651976,-0.18634732430971512
Unnamed: 71,0.1173417462652095,0.16866419940899607,0.6957122298411765
Unnamed: 72,0.02078015635368084,0.001641075218477262,12.662525227187665
Unnamed: 73,0.0725141613504562,0.17811392553049532,0.4071223579766697
Unnamed: 74,0.22508915453906175,0.2479614874388211,0.9077585267937927
Unnamed: 75,0.15300059318216444,0.24475890631199587,0.625107357634347
Unnamed: 76,0.015664232953204422,0.06239501792798541,0.2510494182609843
Unnamed: 77,0.1502800158585703,0.17826739310684286,0.8430033851928344
Unnamed: 78,0.0019799627855504516,0.03896138938277489,0.05081858775872627
Unnamed: 79,0.11474859153565649,0.19349412966525423,0.5930339681838002
Unnamed: 80,0.16495152929058343,0.20396023526041457,0.8087435723927991
Unnamed: 81,0.05551610748769066,0.17054170852597347,0.3255280363233582
Unnamed: 82,0.0884905136496903,0.1748565607667145,0.5060748836742262
Unnamed: 83,0.1720929810441452,0.2099291675653209,0.8197668910900496
Unnamed: 84,0.1648768448861688,0.17608971073549587,0.9363229923969272
Unnamed: 85,0.09825233360509382,0.14371773719057715,0.6836479304903482
Unnamed: 86,-0.0007259834036348817,0.04091330073448349,-0.01774443495396087
Unnamed: 87,0.014569957465161662,0.0738144278343447,0.19738630905410184
Unnamed: 88,0.12254241483697721,0.17955502131479148,0.6824783508679428
Unnamed: 89,0.1211685355636822,0.18804573602902364,0.6443567300296595
Unnamed: 90,-0.008150399755410707,0.06232903752566572,-0.13076408811951495
Unnamed: 91,-0.014152012377606755,0.04612411260752447,-0.30682459948937996
Unnamed: 92,0.1298267169024585,0.16970434594156025,0.7650170429174861
Unnamed: 93,0.11081032807448836,0.1952372964960358,0.5675674170008717
Unnamed: 94,0.13821705430568845,0.17089415697047836,0.8087874784950383
Unnamed: 95,0.06863037945532417,0.16324517920229095,0.42041290156739297
Unnamed: 96,0.07612479805291562,0.20160940645130496,0.3775855471867686
Unnamed: 97,0.15004710347605668,0.16465859253450224,0.9112619096669134
Unnamed: 98,0.07851535351867628,0.1686347334145279,0.4655941983533991
Unnamed: 99,0.11888611121364726,0.1766744522900743,0.6729105972744333
Unnamed: 100,0.1083996810821538,0.1498279163061698,0.7234945513133989
Unnamed: 101,0.17455833326813247,0.20885064417733756,0.835804619879041
Unnamed: 102,0.07243649884516698,0.18043331329394102,0.4014585639579862
Unnamed: 103,0.0011804111869525712,0.08313694454286531,0.01419839511114042
Unnamed: 104,0.12484625672423413,0.1876162975356576,0.66543396476794
Unnamed: 105,0.1497351692252445,0.17548132167741007,0.8532826616185675
